,time,open,high,low,close,volume
841,2021-04-09 15:00:00,88.3685708238,88.4068629139,88.0363869426,88.1914699073,91235
840,2021-04-09 16:00:00,88.2058294411,88.4786605827,88.1196722385,88.4068629139,256552
839,2021-04-09 17:00:00,88.4068629139,88.4068629139,88.4068629139,88.4068629139,15513
838,2021-04-12 10:00:00,89.0003903097,89.6369963069,88.502593139,89.6369963069,111051
837,2021-04-12 11:00:00,89.5556256155,89.6513558407,89.0639551792,89.0639551792,101827
836,2021-04-12 12:00:00,89.0578284448,89.4120302778,89.0003903097,89.0961205349,112192
835,2021-04-12 13:00:00,89.0961205349,89.1439856474,88.8328624157,88.875941017,94859
834,2021-04-12 14:00:00,88.856794972,89.0482554223,88.8089298595,88.9693737168,136873
833,2021-04-12 15:00:00,88.9908172872,89.0195363548,88.6557614992,88.7897838144,123842
832,2021-04-12 16:00:00,88.8089298595,89.0195363548,88.4260089589,88.9716712422,366411
831,2021-04-12 17:00:00,88.9812442647,88.9812442647,88.9812442647,88.9812442647,37081
830,2021-04-13 10:00:00,88.4930201165,88.9620982197,88.1866833961,88.9238061296,95823
829,2021-04-13 11:00:00,88.9381656634,89.5939177056,88.9046600846,89.2492888951,110869
828,2021-04-13 12:00:00,89.2971540076,90.048636275,89.2492888951,89.9529060498,120497
827,2021-04-13 13:00:00,89.9385465161,90.1204339438,89.7758051333,90.0629958087,107526
826,2021-04-13 14:00:00,90.0582092975,90.0582092975,89.7662321108,89.8140972234,80710
825,2021-04-13 15:00:00,89.7997376896,90.0821418538,89.7183669983,89.9864116286,99021
824,2021-04-13 16:00:00,90.0151306962,90.1204339438,89.7758051333,90.0534227862,308461
823,2021-04-13 17:00:00,90.0342767412,90.0342767412,90.0342767412,90.0342767412,33452
822,2021-04-14 10:00:00,89.546052593,89.861962336,89.1344126249,89.3067270302,73229
821,2021-04-14 11:00:00,89.3067270302,89.6355603535,89.0003903097,89.1535586699,82300
820,2021-04-14 12:00:00,89.172704715,89.6465693294,89.1439856474,89.2732214514,74438
819,2021-04-14 13:00:00,89.2732214514,89.6513558407,89.19185076,89.6513558407,75027
818,2021-04-14 14:00:00,89.6226367731,89.8428162909,89.5895141152,89.6226367731,64122
817,2021-04-14 15:00:00,89.6369963069,89.7375130433,89.4598953904,89.7279400208,78653
816,2021-04-14 16:00:00,89.7375130433,90.1012878988,89.7375130433,89.9768386061,226270
815,2021-04-14 17:00:00,89.9768386061,89.9768386061,89.9768386061,89.9768386061,20458
814,2021-04-15 10:00:00,90.5225008894,90.5799390245,89.9768386061,90.2448832365,80671
813,2021-04-15 11:00:00,90.2688157928,90.94371388,90.2688157928,90.6756692496,109746
812,2021-04-15 12:00:00,90.6948152946,90.9102083012,90.589512047,90.6469501821,77196
811,2021-04-15 13:00:00,90.6565232046,91.1308664701,90.6373771596,91.0681631727,75637
810,2021-04-15 14:00:00,91.0777361952,91.3266347806,91.0011520151,91.2309045554,84504
809,2021-04-15 15:00:00,91.2500506004,91.4127919832,91.0107250376,91.3567898015,142075
808,2021-04-15 16:00:00,91.3528648622,92.0350384466,91.3074887355,91.8244319513,341009
807,2021-04-15 17:00:00,91.8435779963,91.8435779963,91.8435779963,91.8435779963,20373
806,2021-04-16 10:00:00,92.4179593471,92.6094197974,91.9584542665,92.6094197974,217087
805,2021-04-16 11:00:00,92.6285658424,92.863104894,92.2791505207,92.8583183827,113765
804,2021-04-16 12:00:00,92.8870374503,93.1646551032,92.4658244597,92.6381388649,109629
803,2021-04-16 13:00:00,92.6860039775,92.8583183827,92.5902737524,92.7625881576,65438
802,2021-04-16 14:00:00,92.7673746689,93.0179963983,92.6860039775,92.9827676754,64375
801,2021-04-16 15:00:00,93.0073703433,93.2412392833,92.8966104728,93.2125202157,81635
800,2021-04-16 16:00:00,93.2316662608,93.2508123058,92.7913072251,92.8487453602,297844
799,2021-04-16 17:00:00,92.8200262927,92.8200262927,92.8200262927,92.8200262927,77714
798,2021-04-19 10:00:00,93.0402058105,93.1550820807,92.2456449419,92.5998467749,79916
797,2021-04-19 11:00:00,92.6189928199,92.8870374503,92.4083863246,92.8870374503,73708
796,2021-04-19 12:00:00,92.8583183827,93.0019137204,92.6285658424,92.7817342026,74791
