,time,open,high,low,close,volume
1847,2022-06-13 10:00:00,86.7035747964,86.8028461209,86.3064894985,86.4553964852,158998
1846,2022-06-13 11:00:00,86.4355422203,86.4355422203,85.4229747107,85.6810801543,240941
1845,2022-06-13 12:00:00,85.5917359623,85.6612258894,84.9613630519,85.2442863266,89520
1844,2022-06-13 13:00:00,85.2496469781,85.4329018431,84.9663266181,84.9663266181,72866
1843,2022-06-13 14:00:00,84.9961080154,85.0854522075,84.3508444063,84.7777111016,88093
1842,2022-06-13 15:00:00,84.7975653665,84.7975653665,83.9239777111,83.9239777111,85654
1841,2022-06-13 16:00:00,83.9339048435,84.1423746249,82.901483069,83.2985683669,377621
1840,2022-06-13 17:00:00,83.2886412345,83.2886412345,83.2886412345,83.2886412345,34162
1839,2022-06-14 10:00:00,83.4673296185,84.0282126018,83.0702443206,83.3432404629,125393
1838,2022-06-14 11:00:00,83.2985683669,83.3978396914,81.8045349336,81.8392798971,228079
1837,2022-06-14 12:00:00,81.8194256322,81.8442434634,80.4296270896,80.5228428633,117627
1836,2022-06-14 13:00:00,80.4693356194,80.5388255465,79.6553107587,80.0325417917,108120
1835,2022-06-14 14:00:00,80.1020317188,80.6480240034,79.8935619374,79.9829061294,97974
1834,2022-06-14 15:00:00,79.9928332619,80.3998456922,79.2590196314,79.397205315,137506
1833,2022-06-14 16:00:00,79.3574967853,80.4296270896,79.263189027,80.1615945135,400769
1832,2022-06-14 17:00:00,80.1516673811,80.1516673811,80.1516673811,80.1516673811,41363
1831,2022-06-15 10:00:00,80.816785255,80.8962023146,80.1218859837,80.7770767252,96678
1830,2022-06-15 11:00:00,80.772113159,80.9557651093,79.8042177454,80.0027603943,219781
1829,2022-06-15 12:00:00,79.9531247321,79.9531247321,79.1688812688,79.5262580369,177830
1828,2022-06-15 13:00:00,79.506403772,80.0573596228,79.4418774111,79.6652378911,122337
1827,2022-06-15 14:00:00,79.6007115302,80.0772138877,79.6007115302,79.9332704672,128122
1826,2022-06-15 15:00:00,79.7545820832,81.0848178311,79.2085897985,80.5288984141,217710
1825,2022-06-15 16:00:00,80.5288984141,81.3727046721,79.9332704672,79.9829061294,743386
1824,2022-06-15 17:00:00,79.9928332619,79.9928332619,79.9928332619,79.9928332619,26698
1823,2022-06-16 08:00:00,79.2482983283,79.2482983283,79.2482983283,79.2482983283,100
1822,2022-06-16 10:00:00,78.841285898,78.841285898,77.5011230176,78.1662408916,144040
1821,2022-06-16 11:00:00,78.1463866267,78.751941706,77.7790827261,78.1066780969,222844
